"common.name","scientific.name","frequency"
"Red-bellied Woodpecker","Melanerpes carolinus",0.2
"hawk sp.","Accipitridae sp. (hawk sp.)",0.18
"American Tree Sparrow","Spizelloides arborea",0.17
"Whimbrel","Numenius phaeopus",0.17
"Alder/Willow Flycatcher (Traill's Flycatcher)","Empidonax alnorum/traillii",0.16
"Great Horned Owl","Bubo virginianus",0.15
"Greater Scaup","Aythya marila",0.15
"House Wren","Troglodytes aedon",0.15
"Sterna sp.","Sterna sp.",0.15
"Common Redpoll","Acanthis flammea",0.14
"Dovekie","Alle alle",0.14
"Evening Grosbeak","Coccothraustes vespertinus",0.14
"Pied-billed Grebe","Podilymbus podiceps",0.14
"Bobolink","Dolichonyx oryzivorus",0.13
"Bohemian Waxwing","Bombycilla garrulus",0.13
"Fox Sparrow","Passerella iliaca",0.13
"King Eider","Somateria spectabilis",0.13
"Ruddy Turnstone","Arenaria interpres",0.13
"woodpecker sp.","Picidae sp.",0.13
"Green Heron","Butorides virescens",0.12
"Mallard/American Black Duck","Anas platyrhynchos/rubripes",0.12
"jaeger sp.","Stercorarius sp. (jaeger sp.)",0.12
"Arctic Tern","Sterna paradisaea",0.11
"Glaucous Gull","Larus hyperboreus",0.11
"Northern Saw-whet Owl","Aegolius acadicus",0.11
"Northern Shrike","Lanius borealis",0.11
"Pomarine Jaeger","Stercorarius pomarinus",0.11
"Yellow-billed Cuckoo","Coccyzus americanus",0.11
"Bank Swallow","Riparia riparia",0.1
"Field Sparrow","Spizella pusilla",0.1
"Great Shearwater","Ardenna gravis",0.1
"Parasitic Jaeger","Stercorarius parasiticus",0.1
"Red-shouldered Hawk","Buteo lineatus",0.1
"Virginia Rail","Rallus limicola",0.1
"White-rumped Sandpiper","Calidris fuscicollis",0.1
"Barrow's Goldeneye","Bucephala islandica",0.09
"Blue-winged Teal","Spatula discors",0.09
"Gadwall","Mareca strepera",0.09
"Lesser/Greater Yellowlegs","Tringa flavipes/melanoleuca",0.09
"Pine Grosbeak","Pinicola enucleator",0.09
"Short-billed Dowitcher","Limnodromus griseus",0.09
"cormorant sp.","Phalacrocoracidae sp.",0.09
"Boreal Chickadee","Poecile hudsonicus",0.08
"Buteo sp.","Buteo sp.",0.08
"Mourning Warbler","Geothlypis philadelphia",0.08
"Vesper Sparrow","Pooecetes gramineus",0.08
"swallow sp.","Hirundinidae sp.",0.08
"Blue-gray Gnatcatcher","Polioptila caerulea",0.07
"Carolina Wren","Thryothorus ludovicianus",0.07
"Eastern Meadowlark","Sturnella magna",0.07
"Marsh Wren","Cistothorus palustris",0.07
"Rusty Blackbird","Euphagus carolinus",0.07
"Sooty Shearwater","Ardenna grisea",0.07
"Sora","Porzana carolina",0.07
"grebe sp.","Podicipedidae sp.",0.07
"Black-crowned Night Heron","Nycticorax nycticorax",0.06
"Brant","Branta bernicla",0.06
"Canada Jay","Perisoreus canadensis",0.06
"Dunlin","Calidris alpina",0.06
"Northern Rough-winged Swallow","Stelgidopteryx serripennis",0.06
"shorebird sp.","Charadriiformes sp.",0.06
"Black-backed Woodpecker","Picoides arcticus",0.05
"Dickcissel","Spiza americana",0.05
"Orange-crowned Warbler","Leiothlypis celata",0.05
"Willet","Tringa semipalmata",0.05
"Wilson's Snipe","Gallinago delicata",0.05
"Common/Arctic Tern","Sterna hirundo/paradisaea",0.04
"Northern Fulmar","Fulmarus glacialis",0.04
"Northern Shoveler","Spatula clypeata",0.04
"Pectoral Sandpiper","Calidris melanotos",0.04
"Red-necked Phalarope","Phalaropus lobatus",0.04
"Ruddy Duck","Oxyura jamaicensis",0.04
"Yellow-breasted Chat","Icteria virens",0.04
"American Oystercatcher","Haematopus palliatus",0.03
"Eastern Whip-poor-will","Antrostomus vociferus",0.03
"Lapland Longspur","Calcarius lapponicus",0.03
"Lark Sparrow","Chondestes grammacus",0.03
"Leach's Storm-Petrel","Hydrobates leucorhous",0.03
"Lesser Scaup","Aythya affinis",0.03
"Pacific Loon","Gavia pacifica",0.03
"Prairie Warbler","Setophaga discolor",0.03
"Thick-billed/Common Murre","Uria lomvia/aalge",0.03
"Willow Flycatcher","Empidonax traillii",0.03
"blackbird sp.","Icteridae sp.",0.03
"waterfowl sp.","Anatidae sp.",0.03
"American Golden-Plover","Pluvialis dominica",0.02
"Black Skimmer","Rynchops niger",0.02
"Black Tern","Chlidonias niger",0.02
"Eurasian Wigeon","Mareca penelope",0.02
"Gray-cheeked/Bicknell's Thrush","Catharus minimus/bicknelli",0.02
"Greater/Lesser Scaup","Aythya marila/affinis",0.02
"Hooded Warbler","Setophaga citrina",0.02
"House/Purple Finch","Haemorhous mexicanus/purpureus",0.02
"Larus sp.","Larus sp.",0.02
"Little Blue Heron","Egretta caerulea",0.02
"Red Knot","Calidris canutus",0.02
"White-eyed Vireo","Vireo griseus",0.02
"storm-petrel sp.","Oceanitidae/Hydrobatidae sp.",0.02
"tern sp.","Sterninae sp.",0.02
"American Coot","Fulica americana",0.01
"Baird's Sandpiper","Calidris bairdii",0.01
"Black Vulture","Coragyps atratus",0.01
"Black-headed Gull","Chroicocephalus ridibundus",0.01
"Blue Grosbeak","Passerina caerulea",0.01
"Blue-winged Warbler","Vermivora cyanoptera",0.01
"Clay-colored Sparrow","Spizella pallida",0.01
"Common/Red-breasted Merganser","Mergus merganser/serrator",0.01
"Cory's Shearwater","Calonectris diomedea",0.01
"Gray-cheeked Thrush","Catharus minimus",0.01
"Louisiana Waterthrush","Parkesia motacilla",0.01
"Manx Shearwater","Puffinus puffinus",0.01
"Marbled Godwit","Limosa fedoa",0.01
"Purple Martin","Progne subis",0.01
"Red Phalarope","Phalaropus fulicarius",0.01
"Royal Tern","Thalasseus maximus",0.01
"Sandhill Crane","Antigone canadensis",0.01
"Short-billed/Long-billed Dowitcher","Limnodromus griseus/scolopaceus",0.01
"Short-eared Owl","Asio flammeus",0.01
"Snow Goose","Anser caerulescens",0.01
"Summer Tanager","Piranga rubra",0.01
"Townsend's Solitaire","Myadestes townsendi",0.01
"Upland Sandpiper","Bartramia longicauda",0.01
"Worm-eating Warbler","Helmitheros vermivorum",0.01
"Yellow-crowned Night Heron","Nyctanassa violacea",0.01
"alcid sp.","Alcidae sp.",0.01
"bird sp.","Aves sp.",0.01
"crossbill sp.","Loxia sp.",0.01
"dabbling duck sp.","Anatidae sp. (dabbling duck sp.)",0.01
"falcon sp.","Falco sp.",0.01
"finch sp.","Fringillidae sp.",0.01
"grouse sp.","Tetraoninae sp.",0.01
"new world flycatcher sp.","Tyrannidae sp.",0.01
"shearwater sp.","Procellariidae sp. (shearwater sp.)",0.01
"small falcon sp.","Falco sp. (small falcon sp.)",0.01
