"common.name","scientific.name","subspecies","iconic.taxon.name","observed.on","year","month","quality.grade","latitude","longitude","user.login","id","time.observed.at","user.id","license","url","image.url","sound.url","tag.list","description","num.identification.agreements","num.identification.disagreements","captive.cultivated","oauth.application.id","place.guess","positional.accuracy","coordinates.obscured","species.guess","full.scientific.name","taxon.id","kingdom","phylum","class","order","family","genus","OBJECTID.1","park"
"Eastern Newt","Notophthalmus viridescens","","Amphibia","2018-06-29",2018,6,"research",46.033276558,-68.5827733702,"meganhess",14039155,"2018-06-29 17:11:33 UTC",657189,"CC-BY-NC","https://www.inaturalist.org/observations/14039155","https://inaturalist-open-data.s3.amazonaws.com/photos/20776419/medium.jpg","","","",2,0,"false",3,"04777, Stacyville, ME, US",78,"false","Eastern Newt","Notophthalmus viridescens",27805,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus",423,"KAWW"
"Mint Root Borer Moth","Fumibotys fumalis","","Insecta","2017-08-19",2017,8,"research",45.878975,-68.747519,"rogerritt",15372759,"",27795,"CC-BY-NC","https://www.inaturalist.org/observations/15372759","https://inaturalist-open-data.s3.amazonaws.com/photos/23035147/medium.jpeg","","","",1,0,"false",195,"Kahtahdin Woods and Waters National Monument",NA,"false","Mint Root Borer Moth","Fumibotys fumalis",205196,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Fumibotys",423,"KAWW"
"Dragonhunter","Hagenius brevistylus","","Insecta","2018-08-21",2018,8,"research",46.0544245936,-68.5907660943,"meganhess",15764639,"2018-08-21 16:07:16 UTC",657189,"CC-BY-NC","https://www.inaturalist.org/observations/15764639","https://inaturalist-open-data.s3.amazonaws.com/photos/23550642/medium.jpg","","","",1,0,"false",3,"Grondins Rd, Patten, ME, US",29,"false","Dragonhunter","Hagenius brevistylus",102006,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Hagenius",423,"KAWW"
"Spiketails","","","Insecta","2018-08-21",2018,8,"needs_id",46.0544141728,-68.5907838881,"meganhess",15764709,"2018-08-21 16:07:21 UTC",657189,"CC-BY-NC","https://www.inaturalist.org/observations/15764709","https://inaturalist-open-data.s3.amazonaws.com/photos/23550745/medium.jpg","","","",1,0,"false",3,"Grondins Rd, Patten, ME, US",24,"false","Spiketails","Cordulegastridae",57448,"Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","",423,"KAWW"
"Darners","","","Insecta","2018-08-21",2018,8,"needs_id",46.0543534833,-68.5907574193,"meganhess",15764722,"2018-08-21 16:07:39 UTC",657189,"CC-BY-NC","https://www.inaturalist.org/observations/15764722","https://inaturalist-open-data.s3.amazonaws.com/photos/23550773/medium.jpg","","","",1,0,"false",3,"Grondins Rd, Patten, ME, US",30,"false","Darners","Aeshnidae",51469,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","",423,"KAWW"
"Dragonflies","","","Insecta","2018-08-21",2018,8,"needs_id",46.0544053771,-68.5907643013,"meganhess",15764749,"2018-08-21 16:07:26 UTC",657189,"CC-BY-NC","https://www.inaturalist.org/observations/15764749","https://inaturalist-open-data.s3.amazonaws.com/photos/23550814/medium.jpg","","","",1,0,"false",3,"Grondins Rd, Patten, ME, US",24,"false","Dragonflies","Anisoptera",47927,"Animalia","Arthropoda","Insecta","Odonata","","",423,"KAWW"
"Twelve-spotted Tiger Beetle","Cicindela duodecimguttata","","Insecta","2017-06-14",2017,6,"research",45.8691429423,-68.7075816085,"jwboreal",17184441,"",1253275,"CC-BY-NC","https://www.inaturalist.org/observations/17184441","https://inaturalist-open-data.s3.amazonaws.com/photos/26044192/medium.jpg","","","",4,0,"false",NA,"Penobscot County, ME, USA",31,"false","Twelve-spotted Tiger Beetle","Cicindela duodecimguttata",82446,"Animalia","Arthropoda","Insecta","Coleoptera","Cicindelidae","Cicindela",423,"KAWW"
"Bluets","","","Insecta","2017-06-14",2017,6,"needs_id",45.8691833307,-68.7076481207,"jwboreal",17185646,"",1253275,"CC-BY-NC","https://www.inaturalist.org/observations/17185646","https://inaturalist-open-data.s3.amazonaws.com/photos/26046438/medium.jpeg","","","",3,0,"false",NA,"Penobscot County, ME, USA",15,"false","Bluets","Enallagma",50175,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma",423,"KAWW"
"Hudsonian Whiteface","Leucorrhinia hudsonica","","Insecta","2017-06-14",2017,6,"research",45.8691403257,-68.7077008864,"jwboreal",17189653,"",1253275,"CC-BY-NC","https://www.inaturalist.org/observations/17189653","https://inaturalist-open-data.s3.amazonaws.com/photos/26053531/medium.jpg","","","",2,0,"false",NA,"Penobscot County, US-ME, US",8,"false","Hudsonian Whiteface","Leucorrhinia hudsonica",104550,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Leucorrhinia",423,"KAWW"
"Ruby-crowned Kinglet","Corthylio calendula","","Aves","2018-10-09",2018,10,"research",45.8488374614,-68.756787627,"vladeb",17361650,"2018-10-09 15:49:33 UTC",583599,"CC-BY-NC","https://www.inaturalist.org/observations/17361650","https://inaturalist-open-data.s3.amazonaws.com/photos/26365720/medium.jpg","","","",1,0,"false",3,"04777, Stacyville, ME, US",1674,"false","Ruby-crowned Kinglet","Corthylio calendula",1289388,"Animalia","Chordata","Aves","Passeriformes","Regulidae","Corthylio",423,"KAWW"
