"scientific.name","status","category","subcategory","present","kingdom","phylum","class","order","family","genus","specificEpithet"
"Dryopteris fragrans","rare/native","species of interest","rare native","Y","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","fragrans"
"Dryopteris goldieana","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","goldieana"
"Fraxinus americana","rare/native","species of interest","forest health concern","Y","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","americana"
"Fraxinus nigra","rare/native","species of interest","forest health concern","Y","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","nigra"
"Fraxinus pennsylvanica","rare/native","species of interest","forest health concern","Y","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","pennsylvanica"
"Galium kamtschaticum","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","kamtschaticum"
"Geocaulon lividum","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Santalales","Santalaceae","Geocaulon","lividum"
"Goodyera oblongifolia","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Goodyera","oblongifolia"
"Heracleum maximum","rare/native","species of interest","human health issue","Y","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","maximum"
"Hieracium venosum","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hieracium","venosum"
"Impatiens pallida","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","pallida"
"Lonicera canadensis","rare/native","species of interest","native shrub","Y","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","canadensis"
"Mononeuria glabra","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Mononeuria","glabra"
"Neottia auriculata","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Neottia","auriculata"
"Panax quinquefolius","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Panax","quinquefolius"
"Phalaris arundinacea","rare/native","species of interest","possible invasive","Y","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phalaris","arundinacea"
